path,status,indexable,canonical,robots,title,h1,wordCount,inSitemap,schemas,hasLine,hasTel,hasFB,hasMaps,outInternal
"/",200,yes,"https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com","index, follow","รับซื้อสินค้าไอทีโคราช ประเมินเบื้องต้นผ่าน LINE | WINNER IT","รับซื้อสินค้าไอทีโคราช ประเมินเบื้องต้นผ่าน LINE",1396,true,"Organization|AdministrativeArea|WebSite|WebPage|FAQPage|Question|Answer",true,true,false,false,69
"/404",404,no,"https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/404","noindex, nofollow","ไม่พบหน้า | WINNER IT","ไม่พบหน้านี้",28,false,"",true,true,false,false,21
"/ขายคอมหลายเครื่อง-โคราช",200,yes,"https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/ขายคอมหลายเครื่อง-โคราช","index, follow","ขายคอมหลายเครื่อง โคราช รับซื้อคอมจำนวนมาก | WINNER IT","ขายคอมหลายเครื่อง โคราช",1202,true,"Organization|AdministrativeArea|WebSite|WebPage|Service|BreadcrumbList|ListItem|FAQPage|Question|Answer",true,true,false,false,21
"/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช",200,yes,"https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช","index, follow","ขายอุปกรณ์ไอทียกสำนักงาน โคราช | WINNER IT","ขายอุปกรณ์ไอทียกสำนักงาน โคราช",1190,true,"Organization|AdministrativeArea|WebSite|WebPage|Service|BreadcrumbList|ListItem|FAQPage|Question|Answer",true,true,false,false,21
"/ข้อกำหนดการใช้บริการ",200,yes,"https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/ข้อกำหนดการใช้บริการ","index, follow","ข้อกำหนดการใช้บริการ | WINNER IT","ข้อกำหนดการใช้บริการ",120,true,"Organization|AdministrativeArea|WebSite|WebPage|BreadcrumbList|ListItem",true,true,false,false,21
"/คำถามที่พบบ่อย",200,yes,"https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/คำถามที่พบบ่อย","index, follow","คำถามที่พบบ่อย | WINNER IT","คำถามที่พบบ่อย",219,true,"Organization|AdministrativeArea|WebSite|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer",true,true,false,false,21
"/ติดต่อ",200,yes,"https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/ติดต่อ","index, follow","ติดต่อเรา | WINNER IT รับซื้อไอทีโคราช","ติดต่อ WINNER IT",133,true,"Organization|AdministrativeArea|WebSite|ContactPage|BreadcrumbList|ListItem",true,true,false,false,21
"/นโยบายความเป็นส่วนตัว",200,yes,"https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/นโยบายความเป็นส่วนตัว","index, follow","นโยบายความเป็นส่วนตัว | WINNER IT","นโยบายความเป็นส่วนตัว",130,true,"Organization|AdministrativeArea|WebSite|WebPage|BreadcrumbList|ListItem",true,true,false,false,21
"/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ",200,yes,"https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ","index, follow","นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ | WINNER IT","นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ",161,true,"Organization|AdministrativeArea|WebSite|WebPage|BreadcrumbList|ListItem",true,true,false,false,21
"/บทความ",200,yes,"https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/บทความ","index, follow","บทความแนะนำก่อนขายสินค้าไอที | WINNER IT","บทความแนะนำก่อนขายสินค้าไอที",525,true,"Organization|AdministrativeArea|WebSite|WebPage|BreadcrumbList|ListItem",true,true,false,false,36
