route,expected_status,actual_status,indexability,sitemap_expected,title_match,description_match,h1_count,canonical_match,robots_match,schema_valid,result,findings
/404,404,404,noindex,no,true,true,1,true,true,true,PASS,
/,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/ขายคอมหลายเครื่อง-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/ข้อกำหนดการใช้บริการ,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/คำถามที่พบบ่อย,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/ติดต่อ,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/นโยบายความเป็นส่วนตัว,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บทความ/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บทความ/กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บทความ/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บทความ/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บทความ/ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บทความ/ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บทความ/วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บทความ/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บทความ/วิธีออกจาก-icloud-ก่อนขาย-iphone-หรือ-ipad,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บทความ/วิธีออกจากบัญชี-google-ก่อนขายโทรศัพท์-android,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บทความ/วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บทความ/สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บทความ/ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย,200,200,indexable,yes,true,true,1,true,true,true,PASS,
/บทความ/เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง,200,200,indexable,yes,true,true,1,true,true,true,PASS,
